name,드라마,액션,코미디,스릴러,범죄,모험,로맨스,애니메이션,미스터리,SF,판타지
영화보는늘,92,93.0,85.0,86.0,85.0,89.0,NaN,74.0,77.0,83.0,82.0
가이바시,93,91.0,91.0,78.0,82.0,88.0,78.0,79.0,NaN,78.0,80.0
김상범,93,92.0,91.0,81.0,83.0,82.0,85.0,NaN,NaN,NaN,70.0
김도안,93,91.0,86.0,85.0,85.0,86.0,83.0,86.0,NaN,79.0,84.0
쯔욧,89,92.0,88.0,90.0,82.0,81.0,NaN,NaN,74.0,75.0,79.0
눈사람,94,85.0,83.0,90.0,82.0,85.0,NaN,78.0,83.0,78.0,NaN
국수누나,94,85.0,90.0,84.0,82.0,80.0,86.0,79.0,NaN,NaN,NaN
명준,92,92.0,88.0,86.0,83.0,87.0,NaN,85.0,NaN,82.0,79.0
여인수,90,94.0,82.0,82.0,84.0,90.0,NaN,91.0,71.0,82.0,83.0
촤락,92,91.0,90.0,NaN,80.0,89.0,NaN,86.0,NaN,81.0,76.0
박상혁,91,91.0,85.0,74.0,86.0,91.0,NaN,92.0,NaN,76.0,85.0
예매완료,93,92.0,89.0,87.0,86.0,82.0,78.0,NaN,73.0,NaN,73.0
김민서,87,94.0,86.0,84.0,77.0,90.0,NaN,81.0,NaN,85.0,81.0
슬쩍,93,89.0,88.0,87.0,86.0,84.0,79.0,91.0,81.0,NaN,75.0
KB24,94,92.0,90.0,82.0,88.0,82.0,80.0,NaN,NaN,70.0,71.0
자드낌,93,91.0,90.0,83.0,86.0,86.0,79.0,78.0,NaN,75.0,76.0
예림이,92,93.0,91.0,83.0,83.0,86.0,NaN,77.0,NaN,80.0,80.0
안모광,92,93.0,87.0,87.0,87.0,85.0,NaN,NaN,73.0,82.0,79.0
성인,94,91.0,88.0,82.0,85.0,81.0,82.0,NaN,NaN,71.0,72.0
단짠단짠,91,93.0,90.0,79.0,82.0,89.0,80.0,73.0,NaN,80.0,76.0
김솔직,92,92.0,88.0,86.0,88.0,85.0,NaN,77.0,84.0,80.0,NaN
SjMoon,89,94.0,87.0,85.0,79.0,89.0,NaN,85.0,NaN,83.0,84.0
배석준,95,88.0,76.0,77.0,90.0,NaN,88.0,NaN,78.0,NaN,NaN
유니 Yunique,92,92.0,90.0,83.0,83.0,88.0,78.0,84.0,NaN,77.0,80.0
jyjea,92,93.0,88.0,83.0,84.0,87.0,77.0,80.0,NaN,77.0,78.0
이도현,95,84.0,87.0,81.0,84.0,79.0,87.0,75.0,NaN,NaN,NaN
독버섯,94,90.0,91.0,81.0,85.0,79.0,82.0,69.0,69.0,NaN,NaN
조우현,93,93.0,86.0,86.0,88.0,84.0,70.0,NaN,73.0,77.0,69.0
적야,90,93.0,88.0,89.0,85.0,85.0,NaN,79.0,77.0,78.0,NaN
Smile_Boy,92,94.0,82.0,78.0,85.0,89.0,73.0,NaN,NaN,80.0,80.0
정희승,94,90.0,88.0,83.0,86.0,85.0,81.0,NaN,NaN,81.0,NaN
박희,88,94.0,85.0,82.0,79.0,89.0,NaN,80.0,NaN,84.0,81.0
한승엽,92,93.0,87.0,86.0,88.0,83.0,77.0,NaN,70.0,70.0,NaN
승환,94,91.0,90.0,84.0,84.0,85.0,80.0,80.0,NaN,77.0,76.0
RHD,94,90.0,88.0,85.0,84.0,86.0,85.0,83.0,NaN,NaN,80.0
movie_cherry,91,81.0,90.0,76.0,73.0,88.0,NaN,93.0,NaN,NaN,83.0
Abaxial,86,95.0,80.0,80.0,77.0,90.0,70.0,85.0,NaN,84.0,75.0
윤주영,94,91.0,86.0,78.0,NaN,89.0,81.0,85.0,NaN,82.0,79.0
토깽,92,89.0,90.0,81.0,NaN,90.0,80.0,90.0,NaN,NaN,83.0
현수철,91,93.0,87.0,88.0,84.0,88.0,NaN,NaN,75.0,84.0,81.0
오정원,93,92.0,86.0,85.0,88.0,87.0,NaN,76.0,79.0,78.0,78.0
박하,93,92.0,88.0,83.0,85.0,88.0,81.0,79.0,NaN,77.0,80.0
Moon heejin,92,92.0,91.0,89.0,87.0,75.0,76.0,NaN,73.0,NaN,70.0
우지환,91,93.0,87.0,77.0,82.0,90.0,NaN,83.0,NaN,82.0,78.0
김준엽,90,94.0,89.0,83.0,83.0,88.0,NaN,84.0,NaN,81.0,80.0
citypop,91,93.0,85.0,80.0,78.0,89.0,NaN,86.0,NaN,83.0,84.0
무비헌터,95,90.0,89.0,87.0,84.0,NaN,78.0,84.0,79.0,78.0,NaN
김재환,90,94.0,86.0,82.0,80.0,90.0,NaN,83.0,74.0,84.0,81.0
황준호,94,90.0,86.0,86.0,88.0,72.0,77.0,NaN,80.0,74.0,NaN
재훈이의보물창고,94,86.0,88.0,80.0,NaN,80.0,88.0,90.0,NaN,81.0,85.0
Jo Seung Hyun,90,94.0,85.0,86.0,84.0,89.0,NaN,88.0,NaN,83.0,81.0
민기,90,93.0,85.0,80.0,78.0,91.0,NaN,87.0,NaN,84.0,84.0
kimsho,91,92.0,92.0,83.0,85.0,85.0,78.0,90.0,NaN,77.0,78.0
정훈,94,90.0,87.0,84.0,87.0,83.0,81.0,NaN,NaN,71.0,NaN
Dadami,92,92.0,88.0,82.0,85.0,86.0,75.0,NaN,79.0,85.0,NaN
다소미마스,94,76.0,91.0,NaN,NaN,80.0,89.0,84.0,NaN,NaN,76.0
C1assic,92,93.0,88.0,83.0,82.0,89.0,NaN,84.0,NaN,80.0,82.0
오승혁,91,92.0,88.0,85.0,79.0,88.0,NaN,87.0,NaN,84.0,82.0
미평가,92,92.0,87.0,87.0,80.0,88.0,NaN,90.0,NaN,82.0,83.0
KHD,90,92.0,88.0,79.0,78.0,89.0,NaN,92.0,NaN,75.0,82.0
김관주,90,93.0,89.0,86.0,81.0,87.0,NaN,83.0,NaN,79.0,80.0
이동현,93,91.0,87.0,83.0,77.0,89.0,NaN,85.0,NaN,81.0,82.0
쟌이,93,92.0,87.0,85.0,86.0,87.0,82.0,NaN,73.0,77.0,78.0
감성폭발Soul,94,90.0,89.0,77.0,85.0,79.0,88.0,NaN,NaN,76.0,77.0
톰&제리,93,93.0,86.0,86.0,84.0,82.0,80.0,NaN,NaN,80.0,70.0
FILMOVIE,94,89.0,90.0,83.0,82.0,86.0,81.0,91.0,NaN,NaN,NaN
유권민,92,94.0,85.0,88.0,84.0,85.0,78.0,NaN,NaN,78.0,78.0
혠니,93,92.0,90.0,NaN,85.0,88.0,85.0,87.0,80.0,78.0,83.0
김선빈,94,90.0,90.0,84.0,87.0,78.0,80.0,NaN,71.0,NaN,NaN
Underwood,92,92.0,92.0,86.0,84.0,84.0,77.0,NaN,NaN,77.0,78.0
jiyoung,93,90.0,89.0,88.0,NaN,86.0,82.0,82.0,NaN,82.0,83.0
유용현,95,87.0,76.0,87.0,84.0,81.0,NaN,NaN,77.0,74.0,NaN
이석범,95,89.0,92.0,84.0,82.0,80.0,NaN,82.0,NaN,NaN,NaN
이상효,94,92.0,89.0,86.0,86.0,82.0,NaN,NaN,76.0,74.0,NaN
예지사랑영화,94,88.0,90.0,81.0,80.0,83.0,87.0,NaN,NaN,NaN,75.0
김선휘,92,92.0,90.0,85.0,80.0,87.0,82.0,NaN,NaN,80.0,80.0
블루,94,91.0,87.0,86.0,83.0,81.0,82.0,NaN,NaN,73.0,NaN
박서연,95,83.0,90.0,NaN,NaN,84.0,89.0,77.0,NaN,69.0,76.0
김영대,89,94.0,86.0,87.0,80.0,88.0,NaN,81.0,NaN,82.0,80.0
박서영,94,81.0,90.0,NaN,NaN,85.0,88.0,88.0,NaN,NaN,81.0
shkng,94,89.0,91.0,79.0,78.0,86.0,85.0,77.0,NaN,75.0,77.0
인생환불좀,92,94.0,85.0,87.0,84.0,86.0,74.0,NaN,NaN,82.0,77.0
김민욱,91,94.0,87.0,83.0,82.0,88.0,NaN,87.0,NaN,78.0,79.0
혜빈,95,86.0,90.0,78.0,77.0,84.0,87.0,NaN,NaN,NaN,78.0
권준형,95,85.0,91.0,76.0,77.0,81.0,87.0,88.0,NaN,NaN,77.0
이현화,92,92.0,92.0,81.0,NaN,85.0,86.0,80.0,NaN,NaN,82.0
Random cul,93,93.0,88.0,86.0,87.0,80.0,78.0,NaN,71.0,73.0,NaN
이정재,90,94.0,88.0,84.0,77.0,90.0,NaN,84.0,NaN,80.0,82.0
한줄,91,93.0,90.0,82.0,81.0,88.0,77.0,88.0,NaN,78.0,82.0
냥냥펀치,93,91.0,92.0,NaN,NaN,84.0,85.0,79.0,NaN,NaN,83.0
가람동,92,93.0,88.0,87.0,85.0,86.0,NaN,84.0,NaN,77.0,80.0
BB,94,90.0,86.0,86.0,82.0,87.0,82.0,84.0,NaN,79.0,79.0
박형곤,94,91.0,88.0,89.0,86.0,79.0,80.0,NaN,73.0,NaN,73.0
이사님,93,91.0,91.0,79.0,90.0,85.0,75.0,84.0,NaN,NaN,72.0
이동진 평론가,94,90.0,90.0,85.0,85.0,77.0,82.0,NaN,NaN,NaN,72.0
김주환,93,93.0,88.0,85.0,83.0,86.0,NaN,NaN,75.0,79.0,79.0
Doo,92,92.0,92.0,84.0,80.0,84.0,NaN,92.0,NaN,NaN,79.0
Io The Mad Moon,91,93.0,89.0,85.0,81.0,88.0,NaN,87.0,NaN,78.0,79.0
😻😻,91,90.0,90.0,82.0,80.0,88.0,NaN,92.0,NaN,79.0,82.0
송굴뒹굴,94,80.0,92.0,78.0,81.0,69.0,88.0,NaN,71.0,NaN,NaN
김수민,94,87.0,89.0,79.0,79.0,88.0,NaN,87.0,NaN,NaN,81.0
라트비아,90,94.0,90.0,83.0,84.0,87.0,NaN,76.0,NaN,80.0,77.0
